Date,U.S. Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
1/1/1981,3.94
2/1/1981,3.99
3/1/1981,4.06
4/1/1981,4.11
5/1/1981,4.29
6/1/1981,4.3
7/1/1981,4.32
8/1/1981,4.3
9/1/1981,4.47
10/1/1981,4.5
11/1/1981,4.53
12/1/1981,4.55
1/1/1982,4.65
2/1/1982,4.69
3/1/1982,4.78
4/1/1982,4.86
5/1/1982,5.17
6/1/1982,5.2
7/1/1982,5.23
8/1/1982,5.23
9/1/1982,5.41
10/1/1982,5.66
11/1/1982,5.68
12/1/1982,5.74
1/1/1983,5.86
2/1/1983,5.87
3/1/1983,6
4/1/1983,6.06
5/1/1983,6.22
6/1/1983,6.2
7/1/1983,6.21
8/1/1983,6.18
9/1/1983,6.19
10/1/1983,6.7
11/1/1983,6.3
12/1/1983,5.94
1/1/1984,5.78
2/1/1984,5.84
3/1/1984,5.92
4/1/1984,5.96
5/1/1984,6.27
6/1/1984,6.76
7/1/1984,7.11
8/1/1984,7.23
9/1/1984,7.17
10/1/1984,6.8
11/1/1984,6.31
12/1/1984,6.05
1/1/1985,5.97
2/1/1985,5.86
3/1/1985,5.99
4/1/1985,6.11
5/1/1985,6.59
6/1/1985,6.96
7/1/1985,7.07
8/1/1985,7.21
9/1/1985,7.06
10/1/1985,6.5
11/1/1985,6.13
12/1/1985,5.7
1/1/1986,5.63
2/1/1986,5.67
3/1/1986,5.71
4/1/1986,5.89
5/1/1986,6.18
6/1/1986,6.67
7/1/1986,6.84
8/1/1986,6.94
9/1/1986,6.83
10/1/1986,6.38
11/1/1986,5.66
12/1/1986,5.28
1/1/1987,5.3
2/1/1987,5.34
3/1/1987,5.36
4/1/1987,5.46
5/1/1987,5.98
6/1/1987,6.55
7/1/1987,6.78
8/1/1987,6.84
9/1/1987,6.64
10/1/1987,5.85
11/1/1987,5.42
12/1/1987,5.13
1/1/1988,5.08
2/1/1988,5.09
3/1/1988,5.18
4/1/1988,5.35
5/1/1988,5.87
6/1/1988,6.5
7/1/1988,6.74
8/1/1988,6.92
9/1/1988,6.79
10/1/1988,5.95
11/1/1988,5.56
12/1/1988,5.39
1/1/1989,5.41
2/1/1989,5.38
3/1/1989,5.45
4/1/1989,5.54
5/1/1989,5.93
6/1/1989,6.58
7/1/1989,6.92
8/1/1989,7.07
9/1/1989,6.8
10/1/1989,6.06
11/1/1989,5.56
12/1/1989,5.3
1/1/1990,5.43
2/1/1990,5.65
