Date,U.S. Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Imports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Pipeline Imports Price (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas LNG Imports (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Pipeline Exports (Dollars per Thousand Cubic Feet),Price of Liquefied U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet),U.S. Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),United States Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),U.S. Natural Gas Electric Power Price (Dollars per Thousand Cubic Feet),U.S. Natural Gas Gross Withdrawals (MMcf),U.S. Natural Gas Gross Withdrawals from Gas Wells (MMcf),U.S. Natural Gas Gross Withdrawals from Oil Wells (MMcf),U.S. Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),U.S. Natural Gas Gross Withdrawals from Coalbed Wells (MMcf),U.S. Natural Gas Repressuring (MMcf),U.S. Nonhydrocarbon Gases Removed from Natural Gas (MMcf),U.S. Natural Gas Vented and Flared (MMcf),U.S. Natural Gas Marketed Production (MMcf),U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),U.S. Dry Natural Gas Production (MMcf),U.S. Natural Gas Imports (MMcf),U.S. Natural Gas Pipeline Imports (MMcf),U.S. Liquefied Natural Gas Imports (MMcf),U.S. Natural Gas Exports (MMcf),U.S. Natural Gas Pipeline Exports (MMcf),Liquefied U.S. Natural Gas Exports (MMcf),U.S. Total Natural Gas Underground Storage Capacity (MMcf),U.S. Natural Gas Underground Storage Volume (MMcf),U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),U.S. Total Natural Gas in Underground Storage (Working Gas) (MMcf),U.S. Total Natural Gas Injections into Underground Storage (MMcf),U.S. Natural  Gas Underground Storage Withdrawals (MMcf),U.S. Natural Gas Underground Storage Net Withdrawals (MMcf),U.S. Natural Gas Total Consumption (MMcf),U.S. Natural Gas Lease and Plant Fuel Consumption (MMcf),U.S. Natural Gas Pipeline & Distribution Use (MMcf),Natural Gas Delivered to Consumers in the U.S. (MMcf),U.S. Natural Gas Residential Consumption (MMcf),Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the U.S. (MMcf),U.S. Natural Gas Industrial Consumption (MMcf),U.S. Natural Gas Vehicle Fuel Consumption (MMcf),U.S. Natural Gas Deliveries to Electric Power Consumers (MMcf)
Jan-73,,,,,,,,,,,,,,,,,,,,,1948000,79000,,92694,,,5808,,,,,,,,,,,,,,843900,392315,,,
Feb-73,,,,,,,,,,,,,,,,,,,,,1962000,79000,,83870,,,6079,,,,,,,,,,,,,,747331,394281,,,
Mar-73,,,,,,,,,,,,,,,,,,,,,1907000,77000,,91581,,,4021,,,,,,,,,,,,,,648504,310799,,,
Apr-73,,,,,,,,,,,,,,,,,,,,,1814000,73000,,88407,,,8017,,,,,,,,,,,,,,465867,231943,,,
May-73,,,,,,,,,,,,,,,,,,,,,1898000,77000,,85844,,,8741,,,,,,,,,,,,,,326313,174258,,,
Jun-73,,,,,,,,,,,,,,,,,,,,,1839000,74000,,79121,,,4131,,,,,,,,,,,,,,207172,135165,,,
Jul-73,,,,,,,,,,,,,,,,,,,,,1880000,76000,,79428,,,5744,,,,,,,,,,,,,,150349,107728,,,
Aug-73,,,,,,,,,,,,,,,,,,,,,1896000,77000,,84400,,,8726,,,,,,,,,,,,,,142498,105681,,,
Sep-73,,,,,,,,,,,,,,,,,,,,,1840000,74000,,81157,,,6403,,,,,,,,,,,,,,159378,103831,,,
Oct-73,,,,,,,,,,,,,,,,,,,,,1875000,76000,,92151,,,5473,,,,,,,,,,,,,,205013,126540,,,
Nov-73,,,,,,,,,,,,,,,,,,,,,1863000,75000,,85784,,,5545,,,,,,,,,,,,,,392459,216762,,,
Dec-73,,,,,,,,,,,,,,,,,,,,,1926000,78000,,88466,,,8481,,,,4898000,2864000,2034000,,,,,,,,590602,297734,,,
Jan-74,,,,,,,,,,,,,,,,,,,,,1930000,79000,,85815,,,5661,,,,,,,,,,,,,,816943,406440,,,
Feb-74,,,,,,,,,,,,,,,,,,,,,1760000,72000,,78919,,,5949,,,,,,,,,,,,,,688478,335562,,,
Mar-74,,,,,,,,,,,,,,,,,,,,,1895000,78000,,85190,,,6677,,,,,,,,,,,,,,597641,301588,,,
Apr-74,,,,,,,,,,,,,,,,,,,,,1780000,73000,,83371,,,6273,,,,,,,,,,,,,,482013,243041,,,
May-74,,,,,,,,,,,,,,,,,,,,,1847000,76000,,79764,,,5481,,,,,,,,,,,,,,315920,165233,,,
Jun-74,,,,,,,,,,,,,,,,,,,,,1740000,71000,,74245,,,7610,,,,,,,,,,,,,,215382,128032,,,
Jul-74,,,,,,,,,,,,,,,,,,,,,1818000,75000,,73247,,,8072,,,,,,,,,,,,,,166289,109694,,,
Aug-74,,,,,,,,,,,,,,,,,,,,,1790000,74000,,76037,,,5332,,,,,,,,,,,,,,142086,107828,,,
Sep-74,,,,,,,,,,,,,,,,,,,,,1755000,72000,,70511,,,6397,,,,,,,,,,,,,,154824,106510,,,
Oct-74,,,,,,,,,,,,,,,,,,,,,1767000,73000,,82625,,,5332,,,,5445000,3042000,2403000,,,,,,,,235176,143295,,,
Nov-74,,,,,,,,,,,,,,,,,,,,,1729000,71000,,83107,,,7039,,,,,,,,,,,,,,358546,199514,,,
Dec-74,,,,,,,,,,,,,,,,,,,,,1790000,74000,,86454,,,6966,,,,4962000,2912000,2050000,,,,,,,,612830,308879,,,
Jan-75,,,,,,,,,,,,,,,,,,,,,1779000,77000,,80824,,,3959,,,,,,,,,,,,,,750713,346998,,,
